Building name,Street address,Suburb,Postcode,Accessibility type,Accessibility type description,Accessibility rating,Building Height (highest floor),Construction year,Refurbished year,Latitude,Longitude,Location
 ,27-45 Sabre Drive,FISHERMANS BEND,3207,Too complex to determine,Configuration of entrance does not fit into any of the other categories,0,1,0,0,-37.827211,144.907233,"27-45 Sabre Drive
(-37.827211, 144.907233)"
 ,520-522 Flinders Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1910,0,-37.820243,144.956883,"520-522 Flinders Street
(-37.820243, 144.956883)"
 ,539-545 Flinders Lane,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,1,1945,1984,-37.820162,144.95618,"539-545 Flinders Lane
(-37.820162, 144.95618)"
YHA Melbourne Central,562-564 Flinders Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,4,1915,2009,-37.820569,144.955629,"562-564 Flinders Street
(-37.820569, 144.955629)"
 ,556-560 Flinders Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1862,2004,-37.82061,144.955766,"556-560 Flinders Street
(-37.82061, 144.955766)"
 ,9-27 Downie Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1953,2003,-37.820249,144.95552,"9-27 Downie Street
(-37.820249, 144.95552)"
 ,91 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794573,144.918571,"91 The Crescent
(-37.794573, 144.918571)"
 ,355-369 Spencer Street,WEST MELBOURNE,3003,Step free,Main Entrance is at grade and has no steps or ramp,3,5,0,0,-37.811945,144.950333,"355-369 Spencer Street
(-37.811945, 144.950333)"
 ,224-236 Queen Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,10,1958,2000,-37.813202,144.960162,"224-236 Queen Street
(-37.813202, 144.960162)"
Niagara House,368-370 Little Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,4,1945,1987,-37.81334,144.961633,"368-370 Little Bourke Street
(-37.81334, 144.961633)"
Melbourne House,354-360 Little Bourke Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,5,1923,2001,-37.813229,144.961901,"354-360 Little Bourke Street
(-37.813229, 144.961901)"
 ,55-57 Hardware Lane,MELBOURNE,3000,Steps,All entrances have steps,1,2,1887,1989,-37.813435,144.960992,"55-57 Hardware Lane
(-37.813435, 144.960992)"
 ,359-363 Lonsdale Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,1,1873,2011,-37.81275,144.961875,"359-363 Lonsdale Street
(-37.81275, 144.961875)"
 ,253 Elizabeth Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1889,1995,-37.812778,144.962181,"253 Elizabeth Street
(-37.812778, 144.962181)"
 ,239-243 Elizabeth Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,2,1945,0,-37.81298,144.962174,"239-243 Elizabeth Street
(-37.81298, 144.962174)"
 ,19-21 Niagara Lane,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,1913,1990,-37.813179,144.961368,"19-21 Niagara Lane
(-37.813179, 144.961368)"
Supreme Court Extension,442-460 Little Bourke Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,2,1926,1930,-37.813976,144.959067,"442-460 Little Bourke Street
(-37.813976, 144.959067)"
Court of Appeal,455-469 Lonsdale Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,2,1893,2000,-37.813569,144.95888,"455-469 Lonsdale Street
(-37.813569, 144.95888)"
Goldsbrough Mort Building,516-526 Bourke Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,4,1862,2008,-37.815273,144.958386,"516-526 Bourke Street
(-37.815273, 144.958386)"
 ,5-23 Little Queen Street,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,3,1930,0,-37.81481,144.959282,"5-23 Little Queen Street
(-37.81481, 144.959282)"
Bourke Place,578-606 Bourke Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,51,1991,0,-37.815713,144.956107,"578-606 Bourke Street
(-37.815713, 144.956107)"
 ,548-558 Little Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,6,1987,0,-37.814919,144.955942,"548-558 Little Bourke Street
(-37.814919, 144.955942)"
 ,534-540 Little Bourke Street,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1945,0,-37.814884,144.956583,"534-540 Little Bourke Street
(-37.814884, 144.956583)"
 ,197-199 King Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,2,1926,1997,-37.815581,144.955028,"197-199 King Street
(-37.815581, 144.955028)"
 ,468-478 Collins Street,MELBOURNE,3000,Ramp,Main Entrance has ramp,3,15,1970,1992,-37.817537,144.958333,"468-478 Collins Street
(-37.817537, 144.958333)"
Vibe Savoy Hotel Melbourne,626-636 Little Collins Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,11,1928,1991,-37.817772,144.953929,"626-636 Little Collins Street
(-37.817772, 144.953929)"
 ,134-160 Spencer Street,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1973,0,-37.817389,144.953751,"134-160 Spencer Street
(-37.817389, 144.953751)"
 ,577-583 Little Collins Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1880,1994,-37.817826,144.955605,"577-583 Little Collins Street
(-37.817826, 144.955605)"
 ,585-587 Little Collins Street,MELBOURNE,3000,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,2,1865,2010,-37.817871,144.955443,"585-587 Little Collins Street
(-37.817871, 144.955443)"
Citic House,97-111 King Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,8,1990,1997,-37.817735,144.955923,"97-111 King Street
(-37.817735, 144.955923)"
 ,408-412 Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1945,1998,-37.814436,144.961492,"408-412 Bourke Street
(-37.814436, 144.961492)"
 ,13-15 Hardware Lane,MELBOURNE,3000,Steps,All entrances have steps,1,2,1945,0,-37.81429,144.961405,"13-15 Hardware Lane
(-37.81429, 144.961405)"
 ,380-382 Bourke Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,4,1987,2000,-37.814165,144.962261,"380-382 Bourke Street
(-37.814165, 144.962261)"
 ,361-363 Little Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1945,0,-37.813586,144.961992,"361-363 Little Bourke Street
(-37.813586, 144.961992)"
 ,365-367 Little Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1887,2002,-37.813743,144.961991,"365-367 Little Bourke Street
(-37.813743, 144.961991)"
 ,17 Somerset Place,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,1945,0,-37.813854,144.962413,"17 Somerset Place
(-37.813854, 144.962413)"
 ,29-31 Somerset Place,MELBOURNE,3000,Steps,All entrances have steps,1,2,1945,1984,-37.813612,144.962302,"29-31 Somerset Place
(-37.813612, 144.962302)"
 ,337-339 La Trobe Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1925,1996,-37.811119,144.959528,"337-339 La Trobe Street
(-37.811119, 144.959528)"
 ,285-287 La Trobe Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1920,2010,-37.810746,144.960828,"285-287 La Trobe Street
(-37.810746, 144.960828)"
 ,315-321 Elizabeth Street,MELBOURNE,3000,Ramp,Main Entrance has ramp,3,2,1890,1996,-37.811249,144.961472,"315-321 Elizabeth Street
(-37.811249, 144.961472)"
University City Apartments,408 Lonsdale Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,12,1958,1998,-37.812442,144.960325,"408 Lonsdale Street
(-37.812442, 144.960325)"
 ,374-380 Lonsdale Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,4,1984,1996,-37.812009,144.961134,"374-380 Lonsdale Street
(-37.812009, 144.961134)"
 ,328-330 King Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,1,1850,1989,-37.812554,144.954246,"328-330 King Street
(-37.812554, 144.954246)"
 ,318-322 King Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1945,1995,-37.8127,144.954314,"318-322 King Street
(-37.8127, 144.954314)"
Harbour Views Apartments,581-589 La Trobe Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,10,2000,0,-37.81337,144.951878,"581-589 La Trobe Street
(-37.81337, 144.951878)"
 ,43A Berry Street,EAST MELBOURNE,3002,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2009,0,-37.818174,144.98843,"43A Berry Street
(-37.818174, 144.98843)"
Hoddle House,326-332 Little Collins Street,MELBOURNE,3000,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,4,1945,2005,-37.815068,144.96386,"326-332 Little Collins Street
(-37.815068, 144.96386)"
Australia On Collins,258-274 Collins Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,12,1992,2009,-37.815365,144.964899,"258-274 Collins Street
(-37.815365, 144.964899)"
 ,247-283 Queen Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1875,1997,-37.81254,144.959088,"247-283 Queen Street
(-37.81254, 144.959088)"
Maurice Blackburn House,452-456 Lonsdale Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,12,1975,2009,-37.81298,144.958613,"452-456 Lonsdale Street
(-37.81298, 144.958613)"
 ,247-257 William Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,5,1985,1997,-37.813179,144.956697,"247-257 William Street
(-37.813179, 144.956697)"
Nubrick House,269-275 William Street,MELBOURNE,3000,Steps,All entrances have steps,1,13,1972,1994,-37.812707,144.956447,"269-275 William Street
(-37.812707, 144.956447)"
 ,1-3 Rankins Lane,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1945,0,-37.813674,144.962178,"1-3 Rankins Lane
(-37.813674, 144.962178)"
Eliza Tinsley Building,640-652 Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1905,1998,-37.816166,144.954405,"640-652 Bourke Street
(-37.816166, 144.954405)"
EOS Centre,330-344 Little Lonsdale Street,MELBOURNE,3000,Steps,All entrances have steps,1,5,1977,1999,-37.811811,144.959674,"330-344 Little Lonsdale Street
(-37.811811, 144.959674)"
 ,310-314 Queen Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1945,1983,-37.811358,144.95947,"310-314 Queen Street
(-37.811358, 144.95947)"
 ,280-294 Little Lonsdale Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,4,0,2012,-37.811316,144.960948,"280-294 Little Lonsdale Street
(-37.811316, 144.960948)"
 ,31 Guildford Lane,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,1998,-37.811433,144.959953,"31 Guildford Lane
(-37.811433, 144.959953)"
 ,8 Radcliffe Street,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1960,0,-37.802355,144.932261,"8 Radcliffe Street
(-37.802355, 144.932261)"
 ,17-27 Laurens Street,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1970,0,-37.8048,144.940916,"17-27 Laurens Street
(-37.8048, 144.940916)"
 ,189-197 Arden Street,NORTH MELBOURNE,3051,Step free,Main Entrance is at grade and has no steps or ramp,3,1,1970,0,-37.800477,144.941541,"189-197 Arden Street
(-37.800477, 144.941541)"
 ,201 Arden Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,0,1920,2011,-37.800298,144.941047,"201 Arden Street
(-37.800298, 144.941047)"
 ,51 Stawell Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2007,0,-37.802656,144.942779,"51 Stawell Street
(-37.802656, 144.942779)"
 ,56 Hayward Lane,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1950,0,-37.80932,144.967085,"56 Hayward Lane
(-37.80932, 144.967085)"
 ,30 Newton Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796432,144.922381,"30 Newton Street
(-37.796432, 144.922381)"
Labassa House,353-355 Flinders Lane,MELBOURNE,3000,Steps,All entrances have steps,1,6,1920,1997,-37.81786,144.962744,"353-355 Flinders Lane
(-37.81786, 144.962744)"
Rendezvous Hotel Melbourne,318-332 Flinders Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,9,1913,1997,-37.8182,144.963576,"318-332 Flinders Street
(-37.8182, 144.963576)"
Perpetual Trustees,40-52 Queen Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,14,1973,2001,-37.817585,144.962188,"40-52 Queen Street
(-37.817585, 144.962188)"
Deste House,59-65 Elizabeth Street,MELBOURNE,3000,Steps,All entrances have steps,1,5,1910,2003,-37.81684,144.96407,"59-65 Elizabeth Street
(-37.81684, 144.96407)"
Suncorp,433-455 Collins Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,20,1965,1999,-37.817977,144.959876,"433-455 Collins Street
(-37.817977, 144.959876)"
 ,228-232 Collins Street,MELBOURNE,3000,Steps,All entrances have steps,1,11,1936,2001,-37.815394,144.965969,"228-232 Collins Street
(-37.815394, 144.965969)"
 ,285 Little Collins Street,MELBOURNE,3000,Steps,All entrances have steps,1,3,1884,1999,-37.815007,144.965118,"285 Little Collins Street
(-37.815007, 144.965118)"
 ,57-63 Ireland Street,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,3,2006,0,-37.807457,144.944261,"57-63 Ireland Street
(-37.807457, 144.944261)"
 ,77-91 Sims Street,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1970,0,-37.802925,144.910845,"77-91 Sims Street
(-37.802925, 144.910845)"
 ,53-117 Coode Road,WEST MELBOURNE,3003,Steps,All entrances have steps,1,1,1960,0,-37.809377,144.921717,"53-117 Coode Road
(-37.809377, 144.921717)"
 ,Footscray Road,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.807289,144.935178,"Footscray Road
(-37.807289, 144.935178)"
 ,5-9 Lloyd Street,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1970,0,-37.801636,144.932472,"5-9 Lloyd Street
(-37.801636, 144.932472)"
 ,21-27 Lloyd Street,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1950,0,-37.802355,144.93089,"21-27 Lloyd Street
(-37.802355, 144.93089)"
Inflation Nightclub,54-60 King Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1910,1992,-37.818899,144.95719,"54-60 King Street
(-37.818899, 144.95719)"
 ,8-10 King Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1917,1990,-37.819927,144.957637,"8-10 King Street
(-37.819927, 144.957637)"
Invicta House,226-232 Flinders Lane,MELBOURNE,3000,Steps,All entrances have steps,1,6,1945,2000,-37.816404,144.966394,"226-232 Flinders Lane
(-37.816404, 144.966394)"
Flinders House,238-244 Flinders Lane,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,5,1860,2000,-37.816495,144.965962,"238-244 Flinders Lane
(-37.816495, 144.965962)"
Council House 2,218-242 Little Collins Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,9,2006,0,-37.814135,144.966783,"218-242 Little Collins Street
(-37.814135, 144.966783)"
 ,227-229 Bourke Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,0,1945,1979,-37.813411,144.966925,"227-229 Bourke Street
(-37.813411, 144.966925)"
 ,185-187 Bourke Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,3,1945,1986,-37.813145,144.967848,"185-187 Bourke Street
(-37.813145, 144.967848)"
The Strand Melbourne,222-260 Elizabeth Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,26,1976,2003,-37.812614,144.962878,"222-260 Elizabeth Street
(-37.812614, 144.962878)"
 ,243-249 Swanston Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,0,1997,-37.812301,144.964736,"243-249 Swanston Street
(-37.812301, 144.964736)"
 ,257-259 Swanston Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1945,2012,-37.812113,144.964648,"257-259 Swanston Street
(-37.812113, 144.964648)"
